time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,weather_code,temperature_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,precipitation_sum,precipitation_probability_max,rain_sum,apparent_temperature_mean,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_min,cloud_cover_max,cloud_cover_mean,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,wet_bulb_temperature_2m_mean,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_min,precipitation_probability_mean,precipitation_probability_min,sunrise,sunset,daylight_duration,sunshine_duration,showers_sum,et0_fao_evapotranspiration,et0_fao_evapotranspiration_sum
2025-09-14,31.8,28.1,38.8,32.0,95.0,29.2,86.0,65.0,80.0,3.3,60,0.0,34.2,20.6,31.0,50.0,100.0,98.0,25.3,25.8,24.4,24.5,15.0,13.3,6.5,26.3,26.6,25.8,15,0,2025-09-14T05:48,2025-09-14T18:00,43899.19,36000.0,3.3,4.86,4.86
2025-09-15,31.0,27.9,38.0,33.8,80.0,29.3,88.0,70.0,81.0,0.9,48,0.0,35.1,17.1,25.9,8.0,100.0,57.0,25.7,26.5,24.8,19.2,11.6,10.4,6.6,26.6,27.1,26.1,12,0,2025-09-15T05:48,2025-09-15T17:59,43862.76,41404.72,0.9,5.05,5.05
2025-09-16,30.5,28.5,37.9,33.0,96.0,29.2,87.0,73.0,80.0,9.4,95,0.0,35.1,19.3,29.9,13.0,100.0,68.0,25.3,26.6,24.5,16.3,9.1,2.5,1.8,26.3,27.4,25.8,37,5,2025-09-16T05:48,2025-09-16T17:58,43826.32,40080.23,9.4,4.71,4.71
2025-09-17,30.0,26.7,37.0,32.3,95.0,28.2,88.0,70.0,81.0,8.1,80,0.0,34.1,10.8,16.9,30.0,100.0,73.0,24.6,25.5,23.9,11.2,6.5,2.2,0.5,25.6,26.2,25.1,54,10,2025-09-17T05:48,2025-09-17T17:58,43789.91,37584.87,8.1,4.41,4.41
2025-09-18,28.6,26.2,34.1,31.6,96.0,27.6,87.0,75.0,82.0,20.5,98,0.0,33.0,11.2,19.4,25.0,100.0,84.0,24.2,24.7,23.7,12.0,7.2,7.9,3.7,25.1,25.5,24.4,67,18,2025-09-18T05:48,2025-09-18T17:57,43753.53,33921.54,20.5,3.92,3.92
2025-09-19,28.4,26.3,35.3,31.9,95.0,27.4,87.0,78.0,82.0,11.5,78,0.0,33.1,8.0,13.0,45.0,100.0,98.0,24.2,24.7,23.7,8.8,4.4,2.9,0.4,25.0,25.6,24.5,43,0,2025-09-19T05:48,2025-09-19T17:56,43717.21,36000.0,11.5,3.72,3.72
2025-09-20,30.1,26.8,36.7,32.0,80.0,28.2,87.0,70.0,80.0,1.0,20,0.0,33.7,15.8,24.1,27.0,100.0,75.0,24.4,25.9,23.7,13.1,8.1,2.2,0.8,25.4,26.5,24.6,8,0,2025-09-20T05:48,2025-09-20T17:56,43680.97,36633.95,1.0,4.48,4.48
2025-09-21,31.1,28.2,38.2,32.6,80.0,29.2,88.0,72.0,81.0,2.8,50,0.0,34.6,18.9,28.4,25.0,100.0,71.0,25.6,26.1,25.1,22.2,14.0,7.6,2.9,26.5,27.0,26.1,15,0,2025-09-21T05:48,2025-09-21T17:55,43644.84,39086.61,2.8,4.9,4.9
2025-09-22,29.9,27.0,37.2,32.8,95.0,28.4,89.0,72.0,82.0,8.3,70,0.0,34.4,11.8,23.0,46.0,100.0,86.0,25.0,25.8,24.3,15.2,7.4,7.2,2.2,25.9,26.6,25.3,39,10,2025-09-22T05:48,2025-09-22T17:54,43608.84,39089.14,8.3,4.39,4.39
2025-09-23,30.8,27.7,37.1,33.6,3.0,29.2,90.0,69.0,81.0,0.3,40,0.0,34.6,18.4,28.1,9.0,100.0,56.0,25.5,26.5,24.4,20.4,12.9,8.6,5.7,26.4,27.2,25.8,6,0,2025-09-23T05:48,2025-09-23T17:54,43572.98,38308.96,0.3,4.91,4.91
2025-09-24,31.3,28.7,37.7,32.0,3.0,29.4,88.0,72.0,82.0,0.2,35,0.0,34.4,25.9,38.9,16.0,100.0,79.0,25.9,26.6,25.0,29.0,18.3,14.8,8.4,26.8,27.3,26.0,10,0,2025-09-24T05:48,2025-09-24T17:53,43537.22,36019.94,0.2,4.86,4.86
2025-09-25,30.0,27.1,36.8,32.8,95.0,28.7,90.0,74.0,83.0,7.9,83,0.0,34.8,13.5,19.4,53.0,100.0,97.0,25.4,26.5,24.5,14.1,7.2,6.1,2.4,26.3,27.1,25.8,40,0,2025-09-25T05:48,2025-09-25T17:53,43501.3,18444.95,7.9,3.45,3.45
2025-09-26,29.8,27.2,36.3,32.6,95.0,28.3,87.0,72.0,81.0,6.8,85,0.0,34.3,11.5,24.5,49.0,100.0,81.0,24.8,25.8,24.2,14.8,6.1,6.5,1.6,25.7,26.5,25.3,48,3,2025-09-26T05:48,2025-09-26T17:52,43465.25,39843.85,6.8,4.07,4.07
